detid_X,detid_Y,DISTANCE
N23421C1,N23421C1,0.0
N23421C1,N23311J1,317.16700000000003
N23421C1,N23411J1,110.791
N23421C1,N23421B1,221.236
N23421C1,N21421C1,284.826
N23421C1,N21441Z1,426.961
N23421C1,N21421M1,400.434
N23421C1,N21411H1,426.961
N23421C1,N21421D1,580.152
N23421C1,N21411Q1,758.8800000000001
N23421C1,N21311B1,731.1370000000001
N23421C1,N20241B1,758.8800000000001
N23421C1,N21211H2,1042.488
N23421C1,N23111G2,941.79
N23421C1,N20231V1,1162.5
N23421C1,N20241D1,1033.4510000000002
N23421C1,N20231Z1,1361.8180000000002
N23421C1,N22461R2,1752.329
N23421C1,N22471A1,1659.153
N23421C1,N22461R1,1752.329
N23421C1,N22461K1,1678.0269999999998
N23421C1,N22461H1,1752.329
N23421C1,N22451C2,1610.892
N23421C1,N22451C1,1610.892
N23421C1,N22471A2,1659.153
N23421C1,N22441J1,1256.536
N23421C1,N22451B1,1343.344
N23421C1,N22451D1,1472.122
N23421C1,N22461G2,1343.344
N23421C1,N21311D1,1163.67
N23421C1,N21311D2,1163.67
N23421C1,N22411A1,1163.67
N23421C1,N21121U2,1163.67
N23421C1,N21211R1,1163.67
N23421C1,N21211S1,1163.67
N23421C1,N20311C1,1261.6850000000002
N23421C1,N21121U1,1163.67
N23421C1,N20111K1,1918.379
N23421C1,N20111J2,2498.702
N23421C1,N20111J1,2498.702
N23421C1,N20131G2,1918.379
N23421C1,N20131G1,1918.379
N23421C1,N20141C2,1934.8660000000004
N23421C1,N20121A2,1959.9270000000004
N23421C1,N20121A1,1959.9270000000004
N23421C1,N20111G2,2164.8160000000003
N23421C1,N20111G1,2164.8160000000003
N23421C1,N20141C1,1934.8660000000004
N23421C1,N20141A2,2429.8410000000003
N23421C1,N20141D1,2430.8340000000007
N23421C1,N20141A1,2429.8410000000003
N23421C1,N20161C2,2532.8330000000005
N23421C1,N20161C1,2532.8330000000005
N23421C1,N21511C1,989.061
N23421C1,N21431H1,1165.135
N23421C1,N21431R1,730.2429999999999
N23421C1,N21511D2,730.2429999999999
N23421C1,N21511D1,730.2429999999999
N23421C1,N21511M1,1404.118
N23421C1,N21521G1,1563.3100000000002
N23421C1,N21521H1,1589.657
N23421C1,N21521K1,1404.118
N23421C1,N20211A1,1857.4030000000005
N23421C1,N21311C1,839.754
N23421C1,N23121A1,841.513
N23421C1,N23111J1,918.188
