detid_Y,N20111G1,N20111G2,N20111J1,N20111J2,N20111K1,N20121A1,N20121A2,N20131G1,N20131G2,N20141A1,N20141A2,N20141C1,N20141C2,N20141D1,N20161C1,N20161C2,N20211A1,N20231V1,N20231Z1,N20241B1,N20241D1,N20311C1,N21121U1,N21121U2,N21211H2,N21211K1,N21211K2,N21211R1,N21211S1,N21311B1,N21311C1,N21311D1,N21311D2,N21411H1,N21411Q1,N21421C1,N21421D1,N21421M1,N21421X1,N21431H1,N21431R1,N21441Z1,N21511C1,N21511D1,N21511D2,N21511M1,N21521G1,N21521H1,N21521K1,N22411A1,N22441J1,N22451B1,N22451C1,N22451C2,N22451D1,N22461G2,N22461H1,N22461K1,N22461R1,N22461R2,N22471A1,N22471A2,N23111G2,N23111J1,N23121A1,N23121B1,N23131G1,N23311J1,N23411J1,N23421B1,N23421C1,N30231B1,N30231B2,N30241H1,N30241H2,N30241K1,N30241K2,N30241K3,N30281M1,N30311A1,N30311B1,N30311B2,N30311D1,N30311D2,N30311M1,N30311P1,N30321H1,N30321H2,N30321K1,N30321K2,N30321S1,N30331A1,N30331B1,N30331C1,N30331D1,N30331R1,N30331T1,N30341G1,N30341H1,N30341J1,N30341K1,N30411H1,N30411T1,N30411W1,N30411W2,N30421B1,N30421B2,N30421C1,N30421D1,N30421D2,N30421M1,N30421X1,N30421Z1,N30431G1,N30431G2,N30431H1,N30431H2,N30431J1,N30431J2,N30431K1,N30431K2,N30431T1,N30441L1,N30451M1,N30451X1,N30451X2,N30451Z1,N30511A1,N30511C1,N30511D1,N30511D2,N30511P1,N30521A1,N30521A2,N30521B1,N30521C1,N30521C2,N30521L1,N30521M1,N30521N1,N30531G1,N30531G2,N30531J1,N30531Q1,N30531S1,N30531Z1,N30611G1,N30611G2,N30611K1,N30611K2,N30611R1,N30611T1,N30621U1,N30621W1,N30711A1,N30711B1,N30711B2,N30711D1,N30711D2,N30711E1,N30711P1,N30711Y1,N30731G1,N30731G2,N30731G3,N30731H1,N30731H2,N30731H3,N30731J1,N30731K1,N30731Z1,N30751A1,N30751B1,N30751B2,N30751B3,N30751D1,N30771G1,N31111U1,N31111V1,N31111V2,N31111V3,N31111W1,N31111Y1,N31211G1,N31211K1,N31211K2,N31221D1,N31221D2
N20111G1,0.00,0.00,952.63,952.63,555.51,310.75,310.75,555.51,555.51,265.03,265.03,229.95,229.95,315.92,368.02,368.02,645.34,1115.72,963.50,1405.94,1131.37,1104.16,1202.17,1202.17,1323.35,1191.34,1191.34,1202.17,1202.17,1462.29,1438.46,1202.17,1202.17,1737.85,1405.94,1879.99,1584.66,2031.28,1856.50,2480.89,2046.00,1737.85,2724.93,2046.00,2046.00,2760.91,2855.02,2946.45,2760.91,1202.17,2149.99,2236.80,2504.35,2504.35,2141.48,2236.80,2645.78,2472.29,2645.78,2645.78,2552.61,2552.61,1336.43,1750.36,1599.70,1764.46,1825.07,2481.98,2054.03,2164.47,2164.82,6975.49,6975.49,6317.36,6317.36,6865.99,6865.99,6865.99,6865.99,6138.12,6029.20,6029.20,6462.10,6462.10,6144.28,6285.18,5881.71,5881.71,6215.39,6215.39,6115.58,5619.08,5881.71,5995.70,6138.12,5896.18,5920.92,5964.58,5936.13,6278.81,6189.81,5698.34,6050.20,5698.34,5698.34,5554.36,5554.36,5832.44,5877.16,5877.16,5630.31,5547.89,5862.13,5287.86,5287.86,5368.23,5368.23,5583.84,5583.84,5744.68,5744.68,5744.68,5554.36,5249.29,5204.01,5204.01,5538.05,4721.19,4984.26,5321.43,5321.43,5537.69,4580.57,4580.57,4277.84,4649.16,4649.16,4306.54,4277.84,4783.79,4427.96,4427.96,5597.47,4783.79,4721.19,5597.47,4647.06,4647.06,5597.47,5597.47,4797.00,4891.26,5790.76,4856.13,4089.76,4315.79,4315.79,4507.86,4507.86,4314.97,4239.51,4315.79,4237.91,4237.91,4237.91,6257.88,6257.88,6257.88,4554.57,4314.97,4314.97,4176.26,4533.16,4533.16,4533.16,4441.06,3865.80,4603.56,4986.10,4986.10,4986.10,5239.98,4927.35,4986.10,5261.31,5261.31,5028.56,5028.56
N20111G2,0.00,0.00,952.63,952.63,555.51,310.75,310.75,555.51,555.51,265.03,265.03,229.95,229.95,315.92,368.02,368.02,645.34,1115.72,963.50,1405.94,1131.37,1104.16,1202.17,1202.17,1323.35,1191.34,1191.34,1202.17,1202.17,1462.29,1438.46,1202.17,1202.17,1737.85,1405.94,1879.99,1584.66,2031.28,1856.50,2480.89,2046.00,1737.85,2724.93,2046.00,2046.00,2760.91,2855.02,2946.45,2760.91,1202.17,2149.99,2236.80,2504.35,2504.35,2141.48,2236.80,2645.78,2472.29,2645.78,2645.78,2552.61,2552.61,1336.43,1750.36,1599.70,1764.46,1825.07,2481.98,2054.03,2164.47,2164.82,6975.49,6975.49,6317.36,6317.36,6865.99,6865.99,6865.99,6865.99,6138.12,6029.20,6029.20,6462.10,6462.10,6144.28,6285.18,5881.71,5881.71,6215.39,6215.39,6115.58,5619.08,5881.71,5995.70,6138.12,5896.18,5920.92,5964.58,5936.13,6278.81,6189.81,5698.34,6050.20,5698.34,5698.34,5554.36,5554.36,5832.44,5877.16,5877.16,5630.31,5547.89,5862.13,5287.86,5287.86,5368.23,5368.23,5583.84,5583.84,5744.68,5744.68,5744.68,5554.36,5249.29,5204.01,5204.01,5538.05,4721.19,4984.26,5321.43,5321.43,5537.69,4580.57,4580.57,4277.84,4649.16,4649.16,4306.54,4277.84,4783.79,4427.96,4427.96,5597.47,4783.79,4721.19,5597.47,4647.06,4647.06,5597.47,5597.47,4797.00,4891.26,5790.76,4856.13,4089.76,4315.79,4315.79,4507.86,4507.86,4314.97,4239.51,4315.79,4237.91,4237.91,4237.91,6257.88,6257.88,6257.88,4554.57,4314.97,4314.97,4176.26,4533.16,4533.16,4533.16,4441.06,3865.80,4603.56,4986.10,4986.10,4986.10,5239.98,4927.35,4986.10,5261.31,5261.31,5028.56,5028.56
N20111J1,952.63,952.63,0.00,0.00,580.32,825.08,825.08,580.32,580.32,1201.29,1201.29,775.64,775.64,739.81,1304.28,1304.28,1191.03,1400.90,1509.19,1810.81,1579.65,1238.66,1336.68,1336.68,1457.86,1216.16,1216.16,1336.68,1336.68,1778.32,1662.88,1336.68,1336.68,2084.57,1810.81,2226.70,1931.38,2377.99,2203.21,2827.61,2392.72,2084.57,3071.64,2392.72,2392.72,3107.62,3264.16,3293.16,3107.62,1336.68,2218.67,2295.08,2562.62,2562.62,2166.30,2295.08,2704.06,2497.10,2704.06,2704.06,2610.88,2610.88,1560.84,1932.24,1820.19,1946.34,2006.95,2774.96,2387.91,2498.36,2498.70,6489.79,6489.79,5831.66,5831.66,6380.30,6380.30,6380.30,6380.30,5652.42,5543.50,5543.50,5976.40,5976.40,5658.58,5799.48,5396.01,5396.01,5729.69,5729.69,5629.88,5133.38,5396.01,5510.00,5652.42,5410.48,5435.22,5478.89,5450.44,5793.11,5704.11,5212.64,5564.50,5212.64,5212.64,5068.66,5068.66,5346.74,5391.47,5391.47,5144.61,5062.19,5376.43,4802.16,4802.16,4882.53,4882.53,5098.14,5098.14,5258.98,5258.98,5258.98,5068.66,4763.59,4718.31,4718.31,5052.35,4235.49,4498.56,4835.73,4835.73,5051.99,4094.87,4094.87,3792.14,4163.46,4163.46,3820.84,3792.14,4298.09,3942.26,3942.26,5111.77,4298.09,4235.49,5111.77,4475.29,4475.29,5111.77,5111.77,4821.81,4916.07,6008.83,4684.35,4114.57,4373.18,4373.18,4532.67,4532.67,4339.78,4264.32,4373.18,4295.30,4295.30,4295.30,5772.18,5772.18,5772.18,4611.96,4339.78,4339.78,4315.77,4672.67,4672.67,4672.67,4498.45,3890.61,4821.64,5204.18,5204.18,5204.18,5458.06,5145.43,5204.18,5479.39,5479.39,5246.64,5246.64
N20111J2,952.63,952.63,0.00,0.00,580.32,825.08,825.08,580.32,580.32,1201.29,1201.29,775.64,775.64,739.81,1304.28,1304.28,1191.03,1400.90,1509.19,1810.81,1579.65,1238.66,1336.68,1336.68,1457.86,1216.16,1216.16,1336.68,1336.68,1778.32,1662.88,1336.68,1336.68,2084.57,1810.81,2226.70,1931.38,2377.99,2203.21,2827.61,2392.72,2084.57,3071.64,2392.72,2392.72,3107.62,3264.16,3293.16,3107.62,1336.68,2218.67,2295.08,2562.62,2562.62,2166.30,2295.08,2704.06,2497.10,2704.06,2704.06,2610.88,2610.88,1560.84,1932.24,1820.19,1946.34,2006.95,2774.96,2387.91,2498.36,2498.70,6489.79,6489.79,5831.66,5831.66,6380.30,6380.30,6380.30,6380.30,5652.42,5543.50,5543.50,5976.40,5976.40,5658.58,5799.48,5396.01,5396.01,5729.69,5729.69,5629.88,5133.38,5396.01,5510.00,5652.42,5410.48,5435.22,5478.89,5450.44,5793.11,5704.11,5212.64,5564.50,5212.64,5212.64,5068.66,5068.66,5346.74,5391.47,5391.47,5144.61,5062.19,5376.43,4802.16,4802.16,4882.53,4882.53,5098.14,5098.14,5258.98,5258.98,5258.98,5068.66,4763.59,4718.31,4718.31,5052.35,4235.49,4498.56,4835.73,4835.73,5051.99,4094.87,4094.87,3792.14,4163.46,4163.46,3820.84,3792.14,4298.09,3942.26,3942.26,5111.77,4298.09,4235.49,5111.77,4475.29,4475.29,5111.77,5111.77,4821.81,4916.07,6008.83,4684.35,4114.57,4373.18,4373.18,4532.67,4532.67,4339.78,4264.32,4373.18,4295.30,4295.30,4295.30,5772.18,5772.18,5772.18,4611.96,4339.78,4339.78,4315.77,4672.67,4672.67,4672.67,4498.45,3890.61,4821.64,5204.18,5204.18,5204.18,5458.06,5145.43,5204.18,5479.39,5479.39,5246.64,5246.64
N20111K1,555.51,555.51,580.32,580.32,0.00,244.76,244.76,0.00,0.00,820.54,820.54,325.56,325.56,821.53,923.53,923.53,740.95,820.57,968.86,1230.48,999.33,658.34,756.36,756.36,877.54,635.83,635.83,756.36,756.36,1198.00,1082.55,756.36,756.36,1504.24,1230.48,1646.38,1351.05,1797.67,1622.89,2247.28,1812.39,1504.24,2491.32,1812.39,1812.39,2527.30,2683.83,2712.84,2527.30,756.36,1638.34,1714.75,1982.30,1982.30,1585.97,1714.75,2123.74,1916.78,2123.74,2123.74,2030.56,2030.56,980.52,1351.91,1239.86,1366.02,1426.63,2194.63,1807.59,1918.03,1918.38,6421.88,6421.88,5763.75,5763.75,6312.39,6312.39,6312.39,6312.39,5584.51,5475.59,5475.59,5908.49,5908.49,5590.67,5731.57,5328.10,5328.10,5661.78,5661.78,5561.97,5065.47,5328.10,5442.09,5584.51,5342.57,5367.31,5410.98,5382.53,5725.20,5636.20,5144.73,5496.59,5144.73,5144.73,5000.75,5000.75,5278.83,5323.56,5323.56,5076.70,4994.28,5308.52,4734.25,4734.25,4814.62,4814.62,5030.23,5030.23,5191.07,5191.07,5191.07,5000.75,4695.68,4650.40,4650.40,4984.45,4167.59,4430.65,4767.82,4767.82,4984.08,4026.96,4026.96,3724.24,4095.55,4095.55,3752.93,3724.24,4230.18,3874.35,3874.35,5043.86,4230.18,4167.59,5043.86,4091.55,4091.55,5043.86,5043.86,4241.49,4335.75,5428.51,4300.62,3534.25,3792.86,3792.86,3952.34,3952.34,3759.46,3684.00,3792.86,3714.97,3714.97,3714.97,5704.27,5704.27,5704.27,4031.64,3759.46,3759.46,3735.45,4092.35,4092.35,4092.35,3918.13,3310.29,4241.31,4623.86,4623.86,4623.86,4877.74,4565.11,4623.86,4899.06,4899.06,4666.32,4666.32
N20121A1,310.75,310.75,651.05,651.05,244.76,0.00,0.00,244.76,244.76,575.77,575.77,80.80,80.80,576.77,678.77,678.77,496.19,910.83,814.35,1201.05,926.48,897.42,995.44,995.44,1116.62,880.59,880.59,995.44,995.44,1257.40,1233.58,995.44,995.44,1532.97,1201.05,1675.10,1379.78,1826.39,1651.61,2276.01,1841.11,1532.97,2520.04,1841.11,1841.11,2556.02,2712.56,2741.56,2556.02,995.44,1883.10,1959.51,2227.06,2227.06,1830.73,1959.51,2368.50,2161.54,2368.50,2368.50,2275.32,2275.32,1131.54,1545.47,1394.81,1559.57,1620.18,2277.09,1849.14,1959.58,1959.93,6666.64,6666.64,6008.51,6008.51,6557.15,6557.15,6557.15,6557.15,5829.27,5720.35,5720.35,6153.25,6153.25,5835.43,5976.33,5572.86,5572.86,5906.55,5906.55,5806.73,5310.23,5572.86,5686.85,5829.27,5587.34,5612.08,5655.74,5627.29,5969.97,5880.96,5389.49,5741.35,5389.49,5389.49,5245.51,5245.51,5523.59,5568.32,5568.32,5321.46,5239.04,5553.28,4979.01,4979.01,5059.38,5059.38,5274.99,5274.99,5435.83,5435.83,5435.83,5245.51,4940.44,4895.16,4895.16,5229.21,4412.35,4675.41,5012.58,5012.58,5228.84,4271.72,4271.72,3969.00,4340.31,4340.31,3997.69,3969.00,4474.94,4119.11,4119.11,5288.63,4474.94,4412.35,5288.63,4336.32,4336.32,5288.63,5288.63,4486.25,4580.51,5585.87,4545.38,3779.01,4037.62,4037.62,4197.11,4197.11,4004.22,3928.76,4037.62,3959.74,3959.74,3959.74,5949.03,5949.03,5949.03,4276.40,4004.22,4004.22,3971.37,4328.27,4328.27,4328.27,4162.89,3555.05,4398.67,4781.22,4781.22,4781.22,5035.09,4722.46,4781.22,5056.42,5056.42,4823.67,4823.67
N20121A2,310.75,310.75,651.05,651.05,244.76,0.00,0.00,244.76,244.76,575.77,575.77,80.80,80.80,576.77,678.77,678.77,496.19,910.83,814.35,1201.05,926.48,897.42,995.44,995.44,1116.62,880.59,880.59,995.44,995.44,1257.40,1233.58,995.44,995.44,1532.97,1201.05,1675.10,1379.78,1826.39,1651.61,2276.01,1841.11,1532.97,2520.04,1841.11,1841.11,2556.02,2712.56,2741.56,2556.02,995.44,1883.10,1959.51,2227.06,2227.06,1830.73,1959.51,2368.50,2161.54,2368.50,2368.50,2275.32,2275.32,1131.54,1545.47,1394.81,1559.57,1620.18,2277.09,1849.14,1959.58,1959.93,6666.64,6666.64,6008.51,6008.51,6557.15,6557.15,6557.15,6557.15,5829.27,5720.35,5720.35,6153.25,6153.25,5835.43,5976.33,5572.86,5572.86,5906.55,5906.55,5806.73,5310.23,5572.86,5686.85,5829.27,5587.34,5612.08,5655.74,5627.29,5969.97,5880.96,5389.49,5741.35,5389.49,5389.49,5245.51,5245.51,5523.59,5568.32,5568.32,5321.46,5239.04,5553.28,4979.01,4979.01,5059.38,5059.38,5274.99,5274.99,5435.83,5435.83,5435.83,5245.51,4940.44,4895.16,4895.16,5229.21,4412.35,4675.41,5012.58,5012.58,5228.84,4271.72,4271.72,3969.00,4340.31,4340.31,3997.69,3969.00,4474.94,4119.11,4119.11,5288.63,4474.94,4412.35,5288.63,4336.32,4336.32,5288.63,5288.63,4486.25,4580.51,5585.87,4545.38,3779.01,4037.62,4037.62,4197.11,4197.11,4004.22,3928.76,4037.62,3959.74,3959.74,3959.74,5949.03,5949.03,5949.03,4276.40,4004.22,4004.22,3971.37,4328.27,4328.27,4328.27,4162.89,3555.05,4398.67,4781.22,4781.22,4781.22,5035.09,4722.46,4781.22,5056.42,5056.42,4823.67,4823.67
N20131G1,555.51,555.51,580.32,580.32,0.00,244.76,244.76,0.00,0.00,820.54,820.54,325.56,325.56,821.53,923.53,923.53,740.95,820.57,968.86,1230.48,999.33,658.34,756.36,756.36,877.54,635.83,635.83,756.36,756.36,1198.00,1082.55,756.36,756.36,1504.24,1230.48,1646.38,1351.05,1797.67,1622.89,2247.28,1812.39,1504.24,2491.32,1812.39,1812.39,2527.30,2683.83,2712.84,2527.30,756.36,1638.34,1714.75,1982.30,1982.30,1585.97,1714.75,2123.74,1916.78,2123.74,2123.74,2030.56,2030.56,980.52,1351.91,1239.86,1366.02,1426.63,2194.63,1807.59,1918.03,1918.38,6421.88,6421.88,5763.75,5763.75,6312.39,6312.39,6312.39,6312.39,5584.51,5475.59,5475.59,5908.49,5908.49,5590.67,5731.57,5328.10,5328.10,5661.78,5661.78,5561.97,5065.47,5328.10,5442.09,5584.51,5342.57,5367.31,5410.98,5382.53,5725.20,5636.20,5144.73,5496.59,5144.73,5144.73,5000.75,5000.75,5278.83,5323.56,5323.56,5076.70,4994.28,5308.52,4734.25,4734.25,4814.62,4814.62,5030.23,5030.23,5191.07,5191.07,5191.07,5000.75,4695.68,4650.40,4650.40,4984.45,4167.59,4430.65,4767.82,4767.82,4984.08,4026.96,4026.96,3724.24,4095.55,4095.55,3752.93,3724.24,4230.18,3874.35,3874.35,5043.86,4230.18,4167.59,5043.86,4091.55,4091.55,5043.86,5043.86,4241.49,4335.75,5428.51,4300.62,3534.25,3792.86,3792.86,3952.34,3952.34,3759.46,3684.00,3792.86,3714.97,3714.97,3714.97,5704.27,5704.27,5704.27,4031.64,3759.46,3759.46,3735.45,4092.35,4092.35,4092.35,3918.13,3310.29,4241.31,4623.86,4623.86,4623.86,4877.74,4565.11,4623.86,4899.06,4899.06,4666.32,4666.32
N20131G2,555.51,555.51,580.32,580.32,0.00,244.76,244.76,0.00,0.00,820.54,820.54,325.56,325.56,821.53,923.53,923.53,740.95,820.57,968.86,1230.48,999.33,658.34,756.36,756.36,877.54,635.83,635.83,756.36,756.36,1198.00,1082.55,756.36,756.36,1504.24,1230.48,1646.38,1351.05,1797.67,1622.89,2247.28,1812.39,1504.24,2491.32,1812.39,1812.39,2527.30,2683.83,2712.84,2527.30,756.36,1638.34,1714.75,1982.30,1982.30,1585.97,1714.75,2123.74,1916.78,2123.74,2123.74,2030.56,2030.56,980.52,1351.91,1239.86,1366.02,1426.63,2194.63,1807.59,1918.03,1918.38,6421.88,6421.88,5763.75,5763.75,6312.39,6312.39,6312.39,6312.39,5584.51,5475.59,5475.59,5908.49,5908.49,5590.67,5731.57,5328.10,5328.10,5661.78,5661.78,5561.97,5065.47,5328.10,5442.09,5584.51,5342.57,5367.31,5410.98,5382.53,5725.20,5636.20,5144.73,5496.59,5144.73,5144.73,5000.75,5000.75,5278.83,5323.56,5323.56,5076.70,4994.28,5308.52,4734.25,4734.25,4814.62,4814.62,5030.23,5030.23,5191.07,5191.07,5191.07,5000.75,4695.68,4650.40,4650.40,4984.45,4167.59,4430.65,4767.82,4767.82,4984.08,4026.96,4026.96,3724.24,4095.55,4095.55,3752.93,3724.24,4230.18,3874.35,3874.35,5043.86,4230.18,4167.59,5043.86,4091.55,4091.55,5043.86,5043.86,4241.49,4335.75,5428.51,4300.62,3534.25,3792.86,3792.86,3952.34,3952.34,3759.46,3684.00,3792.86,3714.97,3714.97,3714.97,5704.27,5704.27,5704.27,4031.64,3759.46,3759.46,3735.45,4092.35,4092.35,4092.35,3918.13,3310.29,4241.31,4623.86,4623.86,4623.86,4877.74,4565.11,4623.86,4899.06,4899.06,4666.32,4666.32
N20141A1,265.02,265.02,1201.29,1201.29,820.54,575.77,575.77,820.54,820.54,0.00,0.00,494.98,494.98,461.48,102.99,102.99,910.37,1380.74,1228.52,1670.96,1396.39,1369.18,1467.20,1467.20,1588.38,1456.37,1456.37,1467.20,1467.20,1727.31,1703.49,1467.20,1467.20,2002.88,1670.96,2145.01,1849.69,2296.30,2121.52,2745.92,2311.03,2002.88,2989.95,2311.03,2311.03,3025.93,3120.04,3211.47,3025.93,1467.20,2415.01,2501.82,2769.37,2769.37,2406.51,2501.82,2910.81,2737.31,2910.81,2910.81,2817.63,2817.63,1601.45,2015.38,1864.73,2029.48,2090.09,2747.01,2319.05,2429.50,2429.84,7224.14,7224.14,6566.02,6566.02,7114.65,7114.65,7114.65,7114.65,6386.78,6277.86,6277.86,6710.76,6710.76,6392.94,6533.83,6130.37,6130.37,6464.05,6464.05,6364.24,5867.73,6130.37,6244.35,6386.78,6144.84,6169.58,6213.24,6184.79,6527.47,6438.46,5947.00,6298.86,5947.00,5947.00,5803.01,5803.01,6081.10,6125.82,6125.82,5878.97,5796.55,6110.78,5536.52,5536.52,5616.88,5616.88,5832.50,5832.50,5993.34,5993.34,5993.34,5803.01,5497.95,5452.67,5452.67,5786.71,4969.85,5232.92,5570.08,5570.08,5786.35,4829.23,4829.23,4526.50,4897.82,4897.82,4555.20,4526.50,5032.45,4676.62,4676.62,5846.13,5032.45,4969.85,5846.13,4912.09,4912.09,5846.13,5846.13,5062.02,5156.29,6055.78,5121.15,4354.79,4580.82,4580.82,4772.88,4772.88,4580.00,4504.54,4580.82,4502.93,4502.93,4502.93,6506.54,6506.54,6506.54,4819.59,4580.00,4580.00,4441.29,4798.19,4798.19,4798.19,4706.09,4130.82,4868.58,5251.13,5251.13,5251.13,5505.00,5192.38,5251.13,5526.33,5526.33,5293.58,5293.58
