detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
N23421C1,0.188683844174292,0.145805459306041,secondary,Jarvis Street,50,toronto,1,144,-79.378954,43.6676666
N23311J1,0.125180774553153,0.096576268437083,secondary,Jarvis Street,50,toronto,1,139,-79.3778811,43.6653713
N23411J1,0.116533670255262,0.091216145927626,secondary,Jarvis Street,50,toronto,1,147,-79.3794562,43.669029
N23421B1,0.284245836701376,0.078890587969349,residential,Isabella Street,50,toronto,1,150,-79.3782908,43.6691057
N21421C1,0.191633067440345,0.129464103955691,secondary,Ted Rogers Way,50,toronto,1,171,-79.3799941,43.6704149
N21441Z1,0.122346139035114,0.088835990115897,secondary,Bloor Street East,40,toronto,1,190,-79.3802437,43.6716187
N21421M1,0.071306102436043,0.041650519491889,secondary,Bloor Street East,40,toronto,1,191,-79.3797971,43.6717574
N21411H1,0.225029053096725,0.166483800420392,secondary,Bloor Street East,40,toronto,1,169,-79.381035,43.6715479
N21421D1,0.215108788419095,0.150915982657279,secondary,Bloor Street East,40,toronto,1,170,-79.3825464,43.6711113
N21411Q1,0.085355913145599,0.062084426391537,secondary,Church Street,0,toronto,1,18,-79.3834234,43.6717165
N21311B1,0.282262495547721,0.228391157928899,secondary,Bloor Street East,40,toronto,1,17,-79.3839223,43.6709095
N20241B1,0.231626207856755,0.155349431967533,secondary,Church Street,0,toronto,1,168,-79.3833309,43.6715924
N21211H2,0.222008027266163,0.153894742481886,secondary,Bloor Street West,40,toronto,1,11,-79.387687,43.6701029
N23111G2,0.181464173777112,0.118476248894936,secondary,Yonge Street,40,toronto,1,98,-79.3866812,43.6698468
N20231V1,0.101508117371255,0.056151602832495,secondary,Yonge Street,50,toronto,1,161,-79.3875607,43.6722388
N20241D1,0.253674377025864,0.196749798542284,secondary,Church Street,0,toronto,1,163,-79.387094,43.6727238
N20231Z1,0.313745130570049,0.129086629442789,secondary,Yonge Street,50,toronto,1,166,-79.3883949,43.6741109
N22461R2,0.065530259430895,0.049976925130576,tertiary,Gerrard Street West,40,toronto,1,38,-79.3841005,43.6586668
N22471A1,0.133649444264245,0.061912719785709,secondary,Bay Street,0,toronto,1,33,-79.3847148,43.6579711
N22461R1,0.065907825043677,0.050251007587157,tertiary,Gerrard Street West,40,toronto,1,39,-79.3840872,43.6586493
N22461K1,0.127802065662247,0.0696011553126,tertiary,Gerrard Street West,40,toronto,1,34,-79.385777,43.6582612
N22461H1,0.229719971932594,0.10192827001596,tertiary,Gerrard Street West,40,toronto,1,37,-79.3834998,43.6588123
N22451C2,0.264747420302243,0.215811450095894,secondary,Bay Street,0,toronto,1,35,-79.3849884,43.6588366
N22451C1,0.265489105916674,0.215367846036138,secondary,Bay Street,0,toronto,1,36,-79.3849522,43.6588511
N22471A2,0.132633057744462,0.060161290776215,secondary,Bay Street,0,toronto,1,32,-79.3846732,43.657973
N22441J1,0.195895961339408,0.084853062153793,secondary,Bay Street,0,toronto,1,46,-79.3860367,43.6616561
N22451B1,0.207172208356149,0.099861252053572,secondary,College Street,50,toronto,1,45,-79.3844783,43.6611012
N22451D1,0.124906149439433,0.088987255291253,secondary,College Street,50,toronto,1,41,-79.3870975,43.6605365
N22461G2,0.27332742812392,0.207406929465585,secondary,Bay Street,0,toronto,1,43,-79.385688,43.6603813
N21311D1,0.229569237437045,0.179823915880454,secondary,Bloor Street West,40,toronto,1,14,-79.3890817,43.6697756
N21311D2,0.228725117186495,0.180024150413533,secondary,Bloor Street West,40,toronto,1,15,-79.3890764,43.6697515
