detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K2D11,0.37759894925313,0.015063512628093,primary,Seebahnstrasse,50,zurich,1,1128,8.518458,47.375536
K2D13,0.059271754814282,0.014467867471405,tertiary,Badenerstrasse,50,zurich,1,212,8.518211,47.375198
K2D14,0.16152125852367,0.00678208474051,primary,Seebahnstrasse,50,zurich,1,1109,8.518765,47.374964
K2D15,0.158996031482391,0.020169792432672,primary,Seebahnstrasse,50,zurich,1,1108,8.518818,47.374825
K2D16,0.156222851938854,0.017910026144901,primary,Seebahnstrasse,50,zurich,1,1106,8.518857,47.374831
K2D19,0.163620467852893,0.130728147272292,primary,Seebahnstrasse,50,zurich,1,208,8.518764,47.374796
K2D17,0.216942985774809,0.017112758467924,tertiary,Badenerstrasse,50,zurich,1,213,8.519053,47.375093
K2D18,0.379157469934147,0.344574932517627,primary,Seebahnstrasse,50,zurich,1,238,8.518525,47.375573
K3D20,0.234497011578432,0.223687272359223,primary,Seebahnstrasse,50,zurich,1,201,8.519916,47.373463
K3D15,0.136715691492852,0.015148357551098,tertiary,Kalkbreitestrasse,50,zurich,1,204,8.519423,47.373456
K3D16,0.204860587594888,0.014690331903935,tertiary,Kalkbreitestrasse,50,zurich,1,203,8.51945,47.373437
K3D13,0.094245155405452,0.014007313578566,primary,Seebahnstrasse,50,zurich,1,209,8.519416,47.373859
K3D14,0.163703990970459,0.014468437437226,primary,Seebahnstrasse,50,zurich,1,1110,8.519384,47.373846
K3D22,0.156572599139407,0.093539316568716,primary,Seebahnstrasse,50,zurich,1,1105,8.519228,47.3742
K3D21,0.15894489398148,0.095881148714801,primary,Seebahnstrasse,50,zurich,1,1107,8.519189,47.374193
K3D11,0.155869144218987,0.140450463767596,primary,Seebahnstrasse,50,zurich,1,207,8.519521,47.37383
K3D12,0.156530440376496,0.139674583770424,primary,Seebahnstrasse,50,zurich,1,206,8.519551,47.373847
K3D19,0.143632256531756,0.018521456047273,tertiary,Kalkbreitestrasse,50,zurich,1,205,8.520128,47.373821
K3D17,0.234652313682487,0.013236276845679,primary,Seebahnstrasse,50,zurich,1,1103,8.520104,47.373396
K3D18,0.116990628202282,0.012742354358073,primary,Seebahnstrasse,50,zurich,1,200,8.520139,47.373424
K7D11,0.106357769859772,0.008236703434635,secondary,Birmensdorferstrasse,50,zurich,1,236,8.517192,47.370713
K8D11,0.234501209864984,0.013098447035935,primary,Seebahnstrasse,50,zurich,1,1104,8.521892,47.372127
K8D12,0.093426019013964,0.013490256391347,primary,Seebahnstrasse,50,zurich,1,202,8.521852,47.372111
K8D20,0.235968359599021,0.20506619994763,primary,Seebahnstrasse,50,zurich,1,199,8.521908,47.372198
K8D17,0.045941146113034,0.002374140405641,tertiary,Zweierstrasse,30,zurich,1,1102,8.522459,47.372038
K8D18,0.045934426020698,0.03312956488637,tertiary,Zweierstrasse,30,zurich,1,198,8.522808,47.37218
K8D19,0.065080639633257,0.032991063136294,tertiary,Zweierstrasse,30,zurich,1,197,8.522781,47.372207
K8D15,0.104712505595075,0.080791300948489,primary,Seebahnstrasse,50,zurich,1,1205,8.522505,47.371719
K8D14,0.105136959735623,0.081271804025971,primary,Seebahnstrasse,50,zurich,1,196,8.522466,47.371702
K8D16,0.088378491499926,0.019495479707375,primary,Seebahnstrasse,50,zurich,1,195,8.522594,47.371706
K10D13,0.334323909910139,0.007194968677812,secondary,Birmensdorferstrasse,50,zurich,1,1125,8.518334,47.370311
K10D14,0.334342756644782,0.053877655144535,secondary,Birmensdorferstrasse,50,zurich,1,237,8.517766,47.370476
K10D12,0.072993633246372,0.010881346877127,secondary,Zweierstrasse,50,zurich,1,231,8.51883,47.370453
K10D11,0.073527516921304,0.011894464026491,secondary,Zweierstrasse,50,zurich,1,232,8.518876,47.370421
K11D17,0.029998361517564,0.012713232622067,secondary,Zweierstrasse,50,zurich,1,230,8.519651,47.370843
K11D16,0.231564461737655,0.014438853219653,secondary,Zweierstrasse,50,zurich,1,229,8.51969,47.370824
K11D19,0.234427530551165,0.017826431459889,tertiary,Zurlindenstrasse,50,zurich,1,235,8.519118,47.370867
K11D11,0.079290756479467,0.001984539883726,tertiary,Zurlindenstrasse,50,zurich,1,1123,8.519425,47.370565
K11D12,0.068109740794636,0.015311581739376,tertiary,Zurlindenstrasse,50,zurich,1,234,8.51951,47.37046
K11D14,0.081158438197118,0.013682645063794,tertiary,Zurlindenstrasse,50,zurich,1,1124,8.519545,47.370477
K12D17,0.081194838661134,0.061414171419666,tertiary,Zurlindenstrasse,50,zurich,1,233,8.519854,47.370102
K12D14,0.047788383320273,0.013449944281864,residential,Zurlindenstrasse,0,zurich,1,228,8.520565,47.369559
K12D16,0.306389121945257,0.012082673763136,residential,Zurlindenstrasse,0,zurich,1,1115,8.520603,47.36958
K12D11,0.103015775482839,0.009747500269126,tertiary,Schlossgasse,0,zurich,1,226,8.52016,47.36957
K12D12,0.130819155404772,0.007595060145781,secondary,Schlossgasse,50,zurich,1,225,8.520217,47.369555
K13D11,0.111931111454962,0.079381958058352,primary,Seebahnstrasse,50,zurich,1,194,8.523162,47.371326
K13D14,0.080209607199783,0.058243406293216,primary,Schimmelstrasse,50,zurich,1,191,8.524084,47.370921
K13D13,0.08235594949151,0.058476664731117,primary,Schimmelstrasse,50,zurich,1,192,8.524117,47.370945
K13D12,0.104880319406225,0.015614635041779,primary_link,Schimmelstrasse,0,zurich,1,193,8.524139,47.370979
K13D15,0.043349071530902,0.035139636681011,secondary,Birmensdorferstrasse,50,zurich,1,190,8.523029,47.370853
K13D16,0.258037048365927,0.024397017643626,secondary,Birmensdorferstrasse,50,zurich,1,189,8.523005,47.37089
K14D12,0.023587983191752,0.016218506645871,primary,Schimmelstrasse,50,zurich,1,285,8.525026,47.37023
K14D15,0.138311600992385,0.0374727938889,primary,Schimmelstrasse,50,zurich,1,1146,8.52523,47.370088
K14D13,0.130982959319452,0.085146442369586,primary,Schimmelstrasse,50,zurich,1,286,8.524984,47.370216
K14D14,0.130704014277117,0.085495833198329,primary,Schimmelstrasse,50,zurich,1,287,8.524948,47.370202
K16D13,0.13292451641985,0.026198109653193,primary,Manessestrasse,50,zurich,1,283,8.527245,47.369257
K16D12,0.150977177097089,0.046273144089521,primary,Manessestrasse,50,zurich,1,282,8.527236,47.369231
K16D11,0.157387840586029,0.055600801502211,primary,Manessestrasse,50,zurich,1,281,8.527221,47.369199
K16D14,0.161033542340888,0.0871644404154,primary,Manessestrasse,50,zurich,1,1119,8.527263,47.369295
K16D15,0.162272033964118,0.087243639668976,primary,Manessestrasse,50,zurich,1,1121,8.527276,47.369327
K16D19,0.270477533543743,0.244400440399105,tertiary,Stauffacherquai,50,zurich,1,272,8.528296,47.369414
K16D18,0.271968452155648,0.245412766470959,tertiary,Stauffacherquai,50,zurich,1,271,8.52834,47.369389
K16D17,0.162396164610534,0.108561630355516,primary,Manessestrasse,50,zurich,1,279,8.527551,47.369281
K16D16,0.161330840876022,0.108783582913763,primary,Manessestrasse,50,zurich,1,278,8.52754,47.369246
K17D13,0.138360676415857,0.081166916148287,primary,Schimmelstrasse,50,zurich,1,284,8.525605,47.369788
K17D14,0.042135427714972,0.023655313951392,primary,Schimmelstrasse,50,zurich,1,280,8.52645,47.369502
K17D15,0.16242088593811,0.02228132696161,primary,Schimmelstrasse,50,zurich,1,1122,8.526441,47.369469
K17D16,0.161025881791065,0.022059679728516,primary,Manessestrasse,50,zurich,1,1120,8.526429,47.369442
K17D12,0.130966256371154,0.032328018661772,primary,Schimmelstrasse,50,zurich,1,1147,8.525419,47.369844
K17D11,0.130740060893841,0.032311317997181,primary,Schimmelstrasse,50,zurich,1,1148,8.525384,47.369826
K18D11,0.215452230230543,0.210865540399536,primary,Manessestrasse,50,zurich,1,1116,8.52502,47.369053
K18D12,0.214669911909119,0.208374870781287,primary,Manessestrasse,50,zurich,1,1117,8.525057,47.369038
K18D13,0.088258217989656,0.066910969429986,primary,Manessestrasse,50,zurich,1,288,8.525114,47.368985
K18D14,0.092921199188414,0.070953587482263,primary,Manessestrasse,50,zurich,1,290,8.525142,47.36897
K18D15,0.09106018184874,0.069356643930153,primary,Manessestrasse,50,zurich,1,289,8.525176,47.368958
K18D16,0.08912721546665,0.037658954883945,primary,Manessestrasse,50,zurich,1,1118,8.525419,47.369159
K20D11,0.13982698472912,0.036362069567049,secondary,Kehlhofstrasse,50,zurich,1,223,8.519079,47.369296
K20D12,0.070870407578893,0.037152294252064,secondary,Kehlhofstrasse,50,zurich,1,224,8.51915,47.369323
K25D13,0.217715339488488,0.176106290569256,primary,Manessestrasse,50,zurich,1,495,8.523663,47.367512
K25D14,0.217172254445723,0.174601204898261,primary,Manessestrasse,50,zurich,1,496,8.523706,47.367508
K27D11,0.074038974928312,0.045256893051828,primary,Tunnelstrasse,50,zurich,1,277,8.528638,47.36882
K27D12,0.073942900736175,0.045173258324335,primary,Tunnelstrasse,50,zurich,1,276,8.528663,47.368842
K27D13,0.073874421882718,0.052242387150645,primary,Tunnelstrasse,50,zurich,1,275,8.528694,47.368859
K27D15,0.320502549676466,0.011743237258081,tertiary,Sihlhölzlistrasse,50,zurich,1,1064,8.529123,47.368898
K32D11,0.512308166086655,0.010863569426758,residential,Wasserschöpfi,30,zurich,1,433,8.506018,47.369124
K32D12,0.312859146031181,0.283176070807214,secondary,Birmensdorferstrasse,50,zurich,1,432,8.506203,47.369353
K32D13,0.340381871614661,0.279728138590818,secondary,Birmensdorferstrasse,50,zurich,1,430,8.5053052,47.3693605
K32D14,0.369248140861162,0.030649038168153,secondary,Birmensdorferstrasse,50,zurich,1,431,8.5053528,47.3692558
K33D11,0.503061797405378,0.016182920722092,tertiary,Schaufelbergerstrasse,50,zurich,1,427,8.501392,47.369167
K33D13,0.040852617307202,0.015955084957213,secondary,Birmensdorferstrasse,50,zurich,1,424,8.500724,47.368667
K33D12,0.373875146162131,0.01697095980872,secondary,Birmensdorferstrasse,50,zurich,1,425,8.500718,47.368705
K33D14,0.42346521875309,0.025690490834992,secondary,Schweighofstrasse,50,zurich,1,426,8.501386,47.368437
K33D16,0.043183847707279,0.01470473436943,secondary,Birmensdorferstrasse,50,zurich,1,428,8.50183,47.368994
K33D15,0.343406092126928,0.014621198506203,secondary,Birmensdorferstrasse,50,zurich,1,429,8.501844,47.368965
K35D20,0.376673013784086,0.36426973334462,primary,Seebahnstrasse,50,zurich,1,239,8.519328,47.378511
K35D15,0.381544963839523,0.351932258531378,primary,Seebahnstrasse,50,zurich,1,1127,8.519206,47.37838
K35D16,0.379062738573447,0.009087993479704,primary,Seebahnstrasse,50,zurich,1,1126,8.519354,47.378436
K35D17,0.219432037013956,0.011359759959959,tertiary,Stauffacherstrasse,50,zurich,1,1129,8.519818,47.378535
K35D11,0.149773933299943,0,primary,Seebahnstrasse,50,zurich,1,1137,8.519608,47.378759
K35D19,0.144473482761797,0.133606025439832,primary,Seebahnstrasse,50,zurich,1,1206,8.519679,47.378766
K35D18,0.14439564730903,0.122572440579061,primary,Seebahnstrasse,50,zurich,1,1135,8.51975,47.378852
K35D12,0.150083337727535,0.021879316164836,primary,Seebahnstrasse,50,zurich,1,261,8.519767,47.378915
K35D13,0.064542656615879,0.021923596340173,primary,Seebahnstrasse,50,zurich,1,262,8.519732,47.378929
K35D14,0.070545678262054,0.006418656514104,residential,Stauffacherstrasse,30,zurich,1,240,8.519145,47.378728
K36D16,0.214085800243567,0.013066377707583,tertiary,Hohlstrasse,50,zurich,1,259,8.521102,47.379932
K36D17,0.213537560352098,0.013640298712413,tertiary,Hohlstrasse,50,zurich,1,260,8.52108,47.379909
K36D14,0.144424530385828,0.019625241205532,primary,Seebahnstrasse,50,zurich,1,1136,8.520477,47.379635
K36D15,0.061051715599123,0.019336710718769,primary,Seebahnstrasse,50,zurich,1,263,8.5205,47.379626
K36D12,0.033421229246253,0,primary,Hohlstrasse,50,zurich,1,1138,8.520488,47.380077
K36D13,0.197255253111868,0.001205943053309,primary,Hohlstrasse,50,zurich,1,1139,8.520466,47.380054
K36D11,0.035061735576317,0.010449397259625,primary,Hohlstrasse,50,zurich,1,268,8.520388,47.380118
K36D21,0.197247911174959,0.075507571528694,primary,Hohlstrasse,50,zurich,1,267,8.519619,47.380394
K36D20,0.111953767521072,0.099908107504912,primary,Hohlstrasse,50,zurich,1,265,8.519569,47.380544
K36D19,0.109957585776131,0.099394979533897,primary,Hohlstrasse,50,zurich,1,264,8.519591,47.380564
K36D18,0.108863108671733,0.04901434552749,primary,Hohlstrasse,50,zurich,1,266,8.520194,47.380326
K37D17,0.111976943883027,0.013629165460143,primary,Hohlstrasse,50,zurich,1,1141,8.518579,47.380931
K37D18,0.10993782314753,0.013138428840747,primary,Hohlstrasse,50,zurich,1,1140,8.518605,47.380956
K37D16,0.063854389382916,0.006854888072191,residential,Zypressenstrasse,30,zurich,1,258,8.517898,47.380901
K37D15,0.181214491875267,0.025405721585106,residential,Zypressenstrasse,30,zurich,1,257,8.517692,47.38079
K37D14,0.198161782245171,0.004869438499446,primary,Hohlstrasse,50,zurich,1,1142,8.517738,47.381161
K37D13,0.198064833261682,0.041460063103574,primary,Hohlstrasse,50,zurich,1,269,8.517341,47.38135
K38D13,0.480251791993779,0.418094154418529,tertiary,Badenerstrasse,50,zurich,1,211,8.513498,47.376841
K38D12,0.467217589489678,0.054916090580247,tertiary,Badenerstrasse,50,zurich,1,214,8.513614,47.376929
K53D15,0.023183899461095,0.011770964525389,primary,,50,zurich,1,975,8.51401,47.382836
K53D16,0.36593035598694,0.021825314667135,primary,,50,zurich,1,974,8.513959,47.382811
K53D11,0.476601548788588,0.032642066797988,primary,Hohlstrasse,50,zurich,1,417,8.513382,47.38324
K53D12,0.124915546860112,0.024297627161353,primary,Hohlstrasse,50,zurich,1,419,8.51433,47.383159
K52D16,0.101640806542926,0.02059340303366,primary,Hohlstrasse,50,zurich,1,418,8.514839,47.383071
K52D20,1.06273053307337,0.678685254124707,primary,Hardbrücke,50,zurich,1,977,8.515485,47.3835
K52D19,1.32960036999397,0.385597016586362,primary,Hardbrücke,50,zurich,1,976,8.515446,47.38352
K52D17,0.363197579763799,0.167785609413182,primary,Hardbrücke,50,zurich,1,973,8.515364,47.383546
K52D21,0.14116922805343,0.126287901494902,primary_link,,50,zurich,1,978,8.515674,47.383574
K52D15,0.312519866644349,0.024658844558737,primary,Hohlstrasse,50,zurich,1,420,8.515648,47.382684
K56D11,0.235757450955191,0.011541276170247,tertiary,Langstrasse,50,zurich,1,244,8.52558,47.376144
K57D11,0.367398816263767,0.243830214377001,tertiary,Langstrasse,50,zurich,1,245,8.526465,47.37749
K58D13,0.367574084517452,0.03271580696549,tertiary,Langstrasse,50,zurich,1,1130,8.527506,47.37925
K58D11,0.235149056005337,0.017507042423002,tertiary,Militärstrasse,0,zurich,1,246,8.528061,47.379493
K58D12,0.463999317129974,0.026279169828166,tertiary,Schöneggstrasse,50,zurich,1,252,8.527198,47.37993
K59D14,0.058306916230776,0.030617338124956,tertiary,Langstrasse,50,zurich,1,1208,8.52779,47.379774
K59D11,0.236930175769091,0.021643108704174,tertiary,Lagerstrasse,50,zurich,1,1131,8.528431,47.379999
K59D16,0.244526205467335,0.206682474277847,tertiary,Lagerstrasse,50,zurich,1,251,8.528534,47.37993
K59D15,0.20146747561485,0.142464362539536,tertiary,Langstrasse,50,zurich,1,253,8.528414,47.38061
K59D13,0.187229802018983,0.040825894806576,tertiary,Langstrasse,50,zurich,1,256,8.528362,47.380618
K59D12,0.189522889425203,0.040460799944449,tertiary,Langstrasse,50,zurich,1,255,8.528276,47.38064
K62D11,0.219388095369861,0.214900963121383,tertiary,Stauffacherstrasse,50,zurich,1,241,8.522202,47.377683
K62D12,0.08466351225663,0.015925358882477,tertiary,Stauffacherstrasse,50,zurich,1,243,8.521976,47.377695
K62D13,0.22133715726379,0.015520913704235,tertiary,Stauffacherstrasse,50,zurich,1,242,8.521962,47.377676
K64D13,0.238822574165208,0.018651781993973,residential,Röntgenstrasse,30,zurich,1,539,8.528812,47.382047
K64D12,0.306656596168762,0.029312315376156,tertiary,Langstrasse,50,zurich,1,538,8.529521,47.382268
K64D14,0.08965311302889,0.001156239831692,tertiary,Langstrasse,50,zurich,1,1133,8.529158,47.381777
K64D11,0.201478157324868,0.030016430194336,tertiary,Langstrasse,50,zurich,1,1134,8.52903,47.381531
K64D15,0.089330525948203,0.004484188379885,tertiary,Langstrasse,50,zurich,1,254,8.529139,47.38175
K66D12,0.20936077213236,0.028336584441103,tertiary,Hohlstrasse,50,zurich,1,386,8.502981,47.386712
K66D13,0.201189166133508,0.018617595282485,other,Freihofstrasse,50,zurich,1,384,8.502278,47.386593
K66D11,0.389867971065584,0.030881348251466,tertiary,Hohlstrasse,50,zurich,1,385,8.50196,47.386962
K67D21,0.22811003735959,0.198284780829387,tertiary,Hardstrasse,50,zurich,1,218,8.5122,47.380245
K67D11,0.243727454478034,0.205409176469249,tertiary,Hardstrasse,50,zurich,1,217,8.51096,47.378797
K67D12,0.243820693441757,0.031777201301138,tertiary,Hardstrasse,50,zurich,1,1112,8.512295,47.380172
K67D14,0.245575338287219,0.00200265096474,residential,Bullingerstrasse,30,zurich,1,1113,8.512875,47.380477
K67D13,0.245563583997374,0.021654053612088,residential,Bullingerstrasse,30,zurich,1,219,8.513107,47.380412
K67D19,0.054805079101121,0.000651572993793,tertiary,Bullingerstrasse,30,zurich,1,414,8.512319,47.380618
K67D18,0.052779901467661,0.015547088631564,tertiary,Bullingerstrasse,30,zurich,1,413,8.512157,47.380688
K67D20,0.543275550059263,0.013505954524755,tertiary,Bullingerstrasse,30,zurich,1,415,8.512134,47.380662
K67D16,0.262440637648296,0.017094022185724,tertiary,Hardstrasse,50,zurich,1,1114,8.512824,47.380782
K67D17,0.059473949490677,0.018218603161714,tertiary,Hardstrasse,50,zurich,1,222,8.512786,47.380802
K67D15,0.255067522294215,0.048478053992003,tertiary,Hardstrasse,50,zurich,1,221,8.513108,47.381073
K67D22,0.266955513299272,0.198715996475291,tertiary,Hardstrasse,50,zurich,1,220,8.513205,47.381121
K70D11,0.343450848100957,0.013806964766212,tertiary,Militärstrasse,0,zurich,1,54,8.530691,47.378118
K70D14,0.38693405847542,0.01796898978757,residential,Kanonengasse,0,zurich,1,248,8.530238,47.378128
K70D12,0.233573543219401,0.005404856261673,tertiary,Militärstrasse,0,zurich,1,247,8.53019,47.378395
K70D13,0.066601521664091,0.040987728298497,residential,Kanonengasse,0,zurich,1,1209,8.530599,47.378449
K71D13,0.054140324319516,0.041555227237073,residential,Kanonengasse,0,zurich,1,249,8.530841,47.378723
K71D11,0.236857383044222,0.209846956406119,tertiary,Lagerstrasse,50,zurich,1,250,8.530573,47.379065
K71D12,0.244552908211796,0.022759896216596,tertiary,Lagerstrasse,50,zurich,1,1132,8.530579,47.379032
K39D11,0.292914406942722,0.018536618249731,tertiary,Aemtlerstrasse,50,zurich,1,215,8.513785,47.373664
K39D13,0.271468676428938,0.015481638314918,tertiary,Aemtlerstrasse,50,zurich,1,216,8.513235,47.374098
K301D16,0.098319318537557,0.064660076053675,tertiary,Bahnhofplatz,50,zurich,1,12,8.538934,47.377249
K301D15,0.035390895681814,0.023983106835482,tertiary,Bahnhofplatz,50,zurich,1,30,8.539237,47.37737
K301D14,0.092294239052878,0.034233599747348,tertiary,Bahnhofplatz,50,zurich,1,1042,8.539249,47.377394
K301D13,0.09279072737728,0.034795799683116,tertiary,Bahnhofplatz,50,zurich,1,1041,8.539262,47.377418
K301D11,0.134298997703809,0.010028382612481,tertiary,Löwenstrasse,50,zurich,1,28,8.538505,47.3771
K301D12,0.198552689200443,0.010114287947577,tertiary,Löwenstrasse,50,zurich,1,29,8.538468,47.37712
K302D16,0.093598762851799,0.05173165251993,tertiary,Bahnhofplatz,50,zurich,1,9,8.539466,47.377355
K302D15,0.093105258354172,0.051014911111144,tertiary,Bahnhofplatz,50,zurich,1,10,8.539444,47.377323
K302D11,0.170980096767072,0.01455205074444,tertiary,Bahnhofplatz,50,zurich,1,1036,8.540141,47.377135
K302D12,0.172333716594809,0.013857604112777,tertiary,Bahnhofplatz,50,zurich,1,5,8.54015,47.377168
K302D14,0.116329946053556,0.091242489106154,tertiary,Bahnhofplatz,50,zurich,1,27,8.540835,47.376926
K302D13,0.091674012251583,0.066593620205007,tertiary,Bahnhofplatz,50,zurich,1,26,8.540831,47.376958
K304D18,0.058643422253391,0.056890940765425,tertiary,Bahnhofbrücke,50,zurich,1,36,8.54317,47.376806
K304D19,0.06055873624741,0.059290722481953,tertiary,Bahnhofbrücke,50,zurich,1,37,8.543158,47.376785
K304D14,0.077346984778425,0.021859435171787,tertiary,Bahnhofbrücke,50,zurich,1,3,8.542492,47.376994
K304D15,0.079114113787637,0.022923135116907,tertiary,Bahnhofbrücke,50,zurich,1,4,8.542494,47.376969
K304D16,0.163979262095103,0.162324520060349,tertiary,Bahnhofbrücke,50,zurich,1,1035,8.542087,47.377066
K304D17,0.172260399532537,0.162892304327085,tertiary,Bahnhofbrücke,50,zurich,1,6,8.542079,47.377034
K304D13,0.182925942515381,0.111693590535698,tertiary,Bahnhofquai,50,zurich,1,8,8.542013,47.377436
K304D12,0.180282227896129,0.112984625297325,tertiary,Bahnhofquai,50,zurich,1,7,8.541973,47.37744
K304D11,0.065791059179865,0.022662128560958,tertiary,Bahnhofquai,50,zurich,1,40,8.541478,47.377532
K305D17,0.115391712786685,0.015757060455603,tertiary,Walchestrasse,50,zurich,1,171,8.54284,47.378968
K305D18,0.121090641640049,0.019280986492595,tertiary,Walchestrasse,50,zurich,1,170,8.542889,47.378955
K305D21,0.098069786828295,0.012285529949312,tertiary,Neumühlequai,50,zurich,1,0,8.542759,47.378406
K305D19,0.180513761628162,0.143288459989391,tertiary,Neumühlequai,50,zurich,1,1,8.542787,47.37827
K305D20,0.179674080532838,0.141985829099022,tertiary,Neumühlequai,50,zurich,1,2,8.54275,47.378262
K305D11,0.541272480738309,0.532088325375731,tertiary,Walchebrücke,50,zurich,1,172,8.542377,47.378635
K305D10,0.104407855014105,0.09535863067978,tertiary,Walchebrücke,50,zurich,1,185,8.542386,47.378606
K305D13,0.048863673546387,0.036914194541369,tertiary,Walchebrücke,50,zurich,1,116,8.542216,47.378754
K305D12,0.050256273745668,0.0368413930827,tertiary,Walchebrücke,50,zurich,1,117,8.54223,47.378729
K305D16,0.059935157811983,0.01873433661854,tertiary,Neumühlequai,50,zurich,1,175,8.542382,47.379098
K305D15,0.492716269906785,0.018821527488273,tertiary,Neumühlequai,50,zurich,1,1100,8.542343,47.379094
K305D14,0.094814875541673,0.019407601893306,tertiary,Neumühlequai,50,zurich,1,176,8.54231,47.379091
K305D22,0.54335659839086,0.462695027936698,tertiary,Neumühlequai,50,zurich,1,1094,8.54235,47.379266
K307D13,0.228307024434907,0.011151496434094,residential,Zollstrasse,0,zurich,1,125,8.537064,47.379644
